 Vehicles arriving:  5687 , vehicles not arriving:  977 , total duration:  539773 total (green/red):  34.1649 
 Vehicles arriving:  5683 , vehicles not arriving:  981 , total duration:  565355 total (green/red):  34.3543 
 Vehicles arriving:  5677 , vehicles not arriving:  987 , total duration:  592745 total (green/red):  34.6392 
 
Vehicles arriving:  1970 , vehicles not arriving:  4694 , total duration:  210248 total (green/red):  1366.66 
 Vehicles arriving:  683 , vehicles not arriving:  5981 , total duration:  69199 total (green/red):  14447.9 
 Vehicles arriving:  682 , vehicles not arriving:  5982 , total duration:  114085 total (green/red):  14493.5 
 Vehicles arriving:  682 , vehicles not arriving:  5982 , total duration:  78806 total (green/red):  14496.6 
 Vehicles arriving:  6647 , vehicles not arriving:  17 , total duration:  711300 total (green/red):  0.456499 
 Vehicles arriving:  6646 , vehicles not arriving:  18 , total duration:  670919 total (green/red):  0.48049 
 Vehicles arriving:  6646 , vehicles not arriving:  18 , total duration:  738755 total (green/red):  0.483356 
 Vehicles arriving:  6646 , vehicles not arriving:  18 , total duration:  637716 total (green/red):  0.479144 
 Vehicles arriving:  6644 , vehicles not arriving:  20 , total duration:  680690 total (green/red):  0.532533 
 Vehicles arriving:  6626 , vehicles not arriving:  38 , total duration:  1375308 total (green/red):  1.02927 
 Vehicles arriving:  6629 , vehicles not arriving:  35 , total duration:  1034883 total (green/red):  0.936081 
 Vehicles arriving:  6627 , vehicles not arriving:  37 , total duration:  1511809 total (green/red):  1.00918 
 Vehicles arriving:  6628 , vehicles not arriving:  36 , total duration:  1199487 total (green/red):  0.969571 
 Vehicles arriving:  6601 , vehicles not arriving:  63 , total duration:  2359641 total (green/red):  1.72994 
 Vehicles arriving:  6626 , vehicles not arriving:  38 , total duration:  1153486 total (green/red):  1.01955 
 Vehicles arriving:  6564 , vehicles not arriving:  100 , total duration:  3506724 total (green/red):  2.77246 
 Vehicles arriving:  6636 , vehicles not arriving:  28 , total duration:  1052927 total (green/red):  0.755289 
 Vehicles arriving:  6628 , vehicles not arriving:  36 , total duration:  1128774 total (green/red):  0.966413 
 Vehicles arriving:  6626 , vehicles not arriving:  38 , total duration:  1186623 total (green/red):  1.021 
 Vehicles arriving:  6628 , vehicles not arriving:  36 , total duration:  1228744 total (green/red):  0.970819 
 Vehicles arriving:  5288 , vehicles not arriving:  1376 , total duration:  916830 total (green/red):  55.6656 
 Vehicles arriving:  5284 , vehicles not arriving:  1380 , total duration:  1768491 total (green/red):  55.9704 
 Vehicles arriving:  5297 , vehicles not arriving:  1367 , total duration:  874704 total (green/red):  55.1111 
 Vehicles arriving:  6624 , vehicles not arriving:  40 , total duration:  1312046 total (green/red):  1.07881 
 Vehicles arriving:  6633 , vehicles not arriving:  31 , total duration:  1073240 total (green/red):  0.834089 
 Vehicles arriving:  6621 , vehicles not arriving:  43 , total duration:  1293830 total (green/red):  1.15625 
 Vehicles arriving:  6599 , vehicles not arriving:  65 , total duration:  1762920 total (green/red):  1.75611 
 Vehicles arriving:  4683 , vehicles not arriving:  1981 , total duration:  1648444 total (green/red):  102.221 
 Vehicles arriving:  6637 , vehicles not arriving:  27 , total duration:  975621 total (green/red):  0.725995 
 Vehicles arriving:  6635 , vehicles not arriving:  29 , total duration:  1015341 total (green/red):  0.779622 
 Vehicles arriving:  6634 , vehicles not arriving:  30 , total duration:  1105335 total (green/red):  0.809417 
 Vehicles arriving:  6619 , vehicles not arriving:  45 , total duration:  1237447 total (green/red):  1.20615 
 Vehicles arriving:  5302 , vehicles not arriving:  1362 , total duration:  883963 total (green/red):  54.808 
 Vehicles arriving:  6581 , vehicles not arriving:  83 , total duration:  2203657 total (green/red):  2.25458 
 Vehicles arriving:  6603 , vehicles not arriving:  61 , total duration:  2091801 total (green/red):  1.66527 
 Vehicles arriving:  1327 , vehicles not arriving:  5337 , total duration:  215229 total (green/red):  3421.63 
 Vehicles arriving:  655 , vehicles not arriving:  6009 , total duration:  104913 total (green/red):  15745.7 
 Vehicles arriving:  643 , vehicles not arriving:  6021 , total duration:  94636 total (green/red):  16365.5 
 Vehicles arriving:  681 , vehicles not arriving:  5983 , total duration:  102118 total (green/red):  14507.5 
 Vehicles arriving:  657 , vehicles not arriving:  6007 , total duration:  99253 total (green/red):  15646.8 
 Vehicles arriving:  692 , vehicles not arriving:  5972 , total duration:  102141 total (green/red):  14021.5 
 Vehicles arriving:  689 , vehicles not arriving:  5975 , total duration:  112355 total (green/red):  14152.8 
 Vehicles arriving:  687 , vehicles not arriving:  5977 , total duration:  91285 total (green/red):  14248.9 
 Vehicles arriving:  690 , vehicles not arriving:  5974 , total duration:  95194 total (green/red):  14121.7 
 Vehicles arriving:  641 , vehicles not arriving:  6023 , total duration:  96134 total (green/red):  16470 
 Vehicles arriving:  650 , vehicles not arriving:  6014 , total duration:  94323 total (green/red):  16002 
